Date,Open,High,Low,Close,Adj Close,Volume
2020-12-08,100.370003,101.570000,100.010002,101.209999,99.564133,3911300
2020-12-09,101.940002,102.209999,100.099998,100.400002,98.767319,6629900
2020-12-10,103.510002,106.089996,102.750000,105.389999,103.676170,12939200
2020-12-11,104.410004,104.779999,102.330002,103.000000,101.325027,6262600
2020-12-14,103.830002,104.709999,103.250000,103.320000,101.639832,5156200
2020-12-15,104.239998,104.860001,103.779999,104.180000,102.485847,5195200
2020-12-16,104.099998,104.800003,102.720001,103.269997,101.590637,6409300
2020-12-17,103.550003,104.040001,102.610001,103.209999,101.531616,4535700
2020-12-18,103.330002,104.110001,102.949997,103.279999,101.600479,10215000
2020-12-21,101.220001,103.150002,100.019997,102.940002,101.266014,7175900
2020-12-22,102.120003,103.169998,101.889999,102.410004,100.744629,4302700
2020-12-23,102.290001,102.690002,101.970001,102.059998,100.400322,3817300
2020-12-24,102.300003,102.360001,101.680000,102.010002,100.351128,1949200
2020-12-28,102.919998,104.379997,102.309998,104.339996,102.643234,5055200
2020-12-29,104.889999,105.779999,104.470001,105.629997,103.912254,4780900
2020-12-30,105.989998,106.620003,105.779999,105.970001,104.246735,3654100
2020-12-31,106.000000,107.139999,105.620003,106.980003,105.240318,3566300
2021-01-04,107.660004,107.750000,102.139999,103.099998,101.423409,8041500
2021-01-05,102.919998,104.260002,102.800003,103.440002,101.757881,5721900
2021-01-06,102.989998,105.209999,102.910004,104.190002,102.495682,5017200
2021-01-07,104.489998,104.639999,102.949997,103.349998,101.669334,5057000
2021-01-08,103.860001,105.760002,103.419998,105.669998,103.951607,5869700
2021-01-11,105.099998,105.639999,104.269997,104.599998,102.899010,4257400
2021-01-12,104.010002,104.320000,102.309998,102.820000,101.147957,4332600
2021-01-13,102.320000,103.379997,101.489998,102.889999,101.216820,4804500
2021-01-14,103.800003,104.190002,101.709999,101.820000,100.164215,4528300
2021-01-15,101.379997,102.690002,101.209999,102.330002,100.665932,5522900
2021-01-19,102.800003,103.599998,101.339996,102.540001,100.872513,6519600
2021-01-20,102.410004,105.849998,102.199997,105.459999,103.745033,5844300
2021-01-21,105.459999,105.489998,104.449997,104.580002,102.879341,5731500
2021-01-22,104.160004,104.470001,103.059998,103.910004,102.220238,5231600
2021-01-25,103.750000,103.949997,102.169998,103.449997,101.767708,5009000
2021-01-26,103.400002,105.209999,103.239998,104.690002,102.987549,7195300
2021-01-27,101.480003,101.779999,96.730003,97.870003,96.278458,18139500
2021-01-28,98.940002,100.529999,98.099998,98.150002,96.553902,8868200
2021-01-29,97.389999,97.790001,95.919998,96.809998,95.235695,8203000
2021-02-01,96.989998,99.620003,96.919998,98.580002,96.976913,7206300
2021-02-02,99.050003,102.480003,98.779999,101.650002,99.996986,6917700
2021-02-03,101.250000,102.650002,100.809998,101.019997,99.377228,3934800
2021-02-04,101.360001,104.239998,101.110001,103.639999,101.954620,6926800
2021-02-05,105.089996,107.540001,104.779999,106.480003,104.748444,8072100
2021-02-08,106.419998,106.529999,105.339996,106.260002,104.532021,4836600
2021-02-09,106.000000,106.830002,105.220001,106.220001,104.492668,4095200
2021-02-10,106.779999,106.900002,104.930000,105.870003,104.148354,4293200
2021-02-11,106.120003,106.230003,105.029999,105.860001,104.138519,2976000
2021-02-12,105.739998,105.940002,104.720001,105.300003,103.587631,3169800
2021-02-16,104.879997,106.589996,104.699997,106.150002,104.423805,4928100
2021-02-17,105.110001,105.459999,104.150002,104.440002,103.179016,5733800
2021-02-18,103.779999,105.339996,103.410004,104.970001,103.702621,4098700
2021-02-19,104.750000,105.279999,103.220001,103.370003,102.121933,4128900
2021-02-22,102.989998,102.989998,101.750000,101.809998,100.580765,5211800
2021-02-23,103.339996,103.339996,99.930000,101.370003,100.146088,8740300
2021-02-24,101.160004,104.510002,100.599998,104.379997,103.119743,7542700
2021-02-25,104.000000,105.769997,103.110001,103.470001,102.220734,7534000
2021-02-26,104.150002,109.480003,103.680000,108.029999,106.725670,15122900
2021-03-01,108.599998,110.470001,106.540001,106.870003,105.579681,7930300
2021-03-02,107.309998,108.250000,105.820000,107.199997,105.905685,5016800
2021-03-03,106.940002,107.959999,106.120003,106.220001,104.937523,5313400
2021-03-04,106.260002,107.169998,103.849998,104.889999,103.623581,7211800
2021-03-05,106.059998,106.059998,102.750000,105.199997,103.929840,5559900
2021-03-08,104.800003,106.889999,104.230003,105.029999,103.761894,5119500
2021-03-09,106.279999,107.970001,105.830002,106.550003,105.263550,5510900
2021-03-10,107.220001,109.070000,106.959999,107.779999,106.478683,6077000
2021-03-11,108.410004,108.570000,107.260002,107.320000,106.024239,4670700
2021-03-12,107.419998,107.989998,106.580002,107.809998,106.508331,3356000
2021-03-15,107.889999,108.949997,107.059998,108.900002,107.585167,7107300
2021-03-16,110.570000,112.339996,109.889999,111.339996,109.995705,11376200
2021-03-17,111.309998,111.459999,108.930000,110.459999,109.126328,10128400
2021-03-18,109.279999,110.269997,107.500000,107.620003,106.320625,7813400
2021-03-19,108.349998,108.849998,105.830002,106.339996,105.056076,21452000
2021-03-22,106.400002,108.419998,106.000000,107.570000,106.271225,7605100
2021-03-23,107.739998,107.949997,105.669998,106.250000,104.967163,5657800
2021-03-24,106.629997,107.279999,104.940002,104.970001,103.702621,5731300
2021-03-25,105.010002,107.699997,104.059998,107.349998,106.053879,8149000
2021-03-26,107.250000,110.000000,107.180000,109.900002,108.573090,6167600
2021-03-29,109.010002,110.250000,106.589996,109.129997,107.812386,5167100
2021-03-30,108.419998,110.449997,108.279999,110.269997,108.938622,4552900
2021-03-31,110.330002,111.620003,109.190002,109.269997,107.950699,6478400
2021-04-01,110.059998,110.059998,108.199997,109.379997,108.059372,5793000
2021-04-05,109.910004,111.349998,109.870003,111.019997,109.679565,6913100
2021-04-06,111.379997,113.820000,111.099998,113.150002,111.783859,6745200
2021-04-07,112.910004,113.760002,112.650002,113.190002,111.823372,5629600
2021-04-08,113.650002,113.959999,112.680000,113.040001,111.675186,5011300
